Status;Carta-Consulta;Modalidade;UF;Município;Agente Financeiro;Proponente;Empreendimento;Valor de Contrapartida (R$);Valor de Empréstimo (R$);Valor de Investimento (R$)
Devolvida ao Proponente;15.2.0108/2017;Qualificação Viária;BA;Boa Vista do Tupim;Caixa Econômica Federal;Prefeitura Municipal de Boa Vista do Tupim;Qualificação Viária do Prefeitura Municipal de Boa Vista do Tupim;R$ 25.000,00;R$ 475.000,00;R$ 500.000,00
Em análise de validação;4184.23.2506/2021;Qualificação Viária;RJ;Petrópolis;Caixa Econômica Federal;Prefeitura Municipal de Petrópolis;Qualificação Viária do Prefeitura Municipal de Petrópolis;R$ 1.398.128,68;R$ 26.564.444,88;R$ 27.962.573,56
Devolvida ao Proponente;3399.24.3005/2018;Qualificação Viária;BA;Morro do Chapéu;Caixa Econômica Federal;Prefeitura Municipal de Morro do Chapéu;Qualificação Viária do Prefeitura Municipal de Morro do Chapéu;R$ 53.093,20;R$ 1.008.770,68;R$ 1.061.863,88
Devolvida ao Proponente;3406.24.0406/2018;Qualificação Viária;BA;Morro do Chapéu;Caixa Econômica Federal;Prefeitura Municipal de Morro do Chapéu;Qualificação Viária do Prefeitura Municipal de Morro do Chapéu;R$ 59.616,09;R$ 1.132.705,64;R$ 1.192.321,73
Devolvida ao Proponente;3397.24.3005/2018;Qualificação Viária;BA;Morro do Chapéu;Caixa Econômica Federal;Prefeitura Municipal de Morro do Chapéu;Qualificação Viária do Prefeitura Municipal de Morro do Chapéu;R$ 161.220,42;R$ 3.063.187,78;R$ 3.224.408,20
Selecionada pelo gestor da aplicação;51.24.0408/2017;Qualificação Viária;SC;Itaiópolis;Caixa Econômica Federal;Prefeitura Municipal de Itaiópolis;Qualificação Viária do Prefeitura Municipal de Itaiópolis;R$ 749.797,94;R$ 14.246.160,72;R$ 14.995.958,66
Em análise de enquadramento;4147.24.0809/2020;Qualificação Viária;SP;São Sebastião;Caixa Econômica Federal;Prefeitura Municipal de São Sebastião;Qualificação Viária do Prefeitura Municipal de São Sebastião;R$ 1.049.982,06;R$ 19.949.659,13;R$ 20.999.641,19
Selecionada pelo gestor da aplicação;965.2.0111/2017;Qualificação Viária;MG;Três Corações;Caixa Econômica Federal;Prefeitura Municipal de Três Corações;Qualificação Viária do Prefeitura Municipal de Três Corações;R$ 215.000,00;R$ 4.085.000,00;R$ 4.300.000,00
Em análise de enquadramento;4224.1.1810/2021;Sistemas de Transporte Público Coletivo Urbano;AC;Brasiléia;Banco BTG Pactual;Prefeitura Municipal de Brasiléia;Sistemas de Transporte Público Coletivo Urbano do Prefeitura Municipal de Brasiléia;R$ 12.500.000,00;R$ 237.500.000,00;R$ 250.000.000,00
Devolvida ao Proponente;4130.2.1609/2020;Qualificação Viária;SP;Guarujá;Caixa Econômica Federal;Prefeitura Municipal de Guarujá;Qualificação Viária do Prefeitura Municipal de Guarujá;R$ 481.904,37;R$ 9.156.182,88;R$ 9.638.087,25
Pré-selecionada pelo Gestor da Aplicação;3866.2.2609/2019;Qualificação Viária;SC;Jaraguá do Sul;Caixa Econômica Federal;Prefeitura Municipal de Jaraguá do Sul;Qualificação Viária do Prefeitura Municipal de Jaraguá do Sul;R$ 708.211,05;R$ 13.456.009,98;R$ 14.164.221,03
Em análise de enquadramento;4202.2.1908/2021;Qualificação Viária;SP;Ribeirão Pires;Caixa Econômica Federal;Prefeitura Municipal de Ribeirão Pires;Qualificação Viária do Prefeitura Municipal de Ribeirão Pires;R$ 979.903,85;R$ 18.618.173,01;R$ 19.598.076,86
Devolvida ao Proponente;4148.4.2010/2020;Estudos e Projetos;RN;Natal;Caixa Econômica Federal;Prefeitura Municipal de Natal;Estudos e Projetos do Prefeitura Municipal de Natal;R$ 94.889,71;R$ 1.802.904,49;R$ 1.897.794,20
Pré-selecionada pelo Gestor da Aplicação;4146.2.3011/2020;Qualificação Viária;GO;Mineiros;Caixa Econômica Federal;Prefeitura Municipal de Mineiros;Qualificação Viária do Prefeitura Municipal de Mineiros;R$ 1.000.000,00;R$ 19.000.000,00;R$ 20.000.000,00
Devolvida ao Proponente;4254.1.2712/2021;Sistemas de Transporte Público Coletivo Urbano;RS;Porto Alegre;Caixa Econômica Federal;Prefeitura Municipal de Porto Alegre;Sistemas de Transporte Público Coletivo Urbano do Prefeitura Municipal de Porto Alegre;R$ 5.753.190,15;R$ 109.310.612,85;R$ 115.063.803,00
Devolvida ao Proponente;4176.24.2805/2021;Qualificação Viária;SP;Cabreúva;Caixa Econômica Federal;Prefeitura Municipal de Cabreúva;Qualificação Viária do Prefeitura Municipal de Cabreúva;R$ 756.455,73;R$ 14.372.658,74;R$ 15.129.114,47
Pré-selecionada pelo Gestor da Aplicação;4155.2.2601/2021;Qualificação Viária;SP;Igarapava;Caixa Econômica Federal;Prefeitura Municipal de Igarapava;Qualificação Viária do Prefeitura Municipal de Igarapava;R$ 249.442,43;R$ 4.739.406,13;R$ 4.988.848,56
Pré-selecionada pelo Gestor da Aplicação;4111.2.2211/2019;Qualificação Viária;MT;Santo Afonso;Caixa Econômica Federal;Prefeitura Municipal de Santo Afonso;Qualificação Viária do Prefeitura Municipal de Santo Afonso;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Selecionada pelo gestor da aplicação;4170.2.3003/2021;Qualificação Viária;SC;Jaraguá do Sul;Caixa Econômica Federal;Prefeitura Municipal de Jaraguá do Sul;Qualificação Viária do Prefeitura Municipal de Jaraguá do Sul;R$ 824.005,86;R$ 15.656.111,34;R$ 16.480.117,20
Pré-selecionada pelo Gestor da Aplicação;4154.2.2601/2021;Qualificação Viária;SP;Igarapava;Caixa Econômica Federal;Prefeitura Municipal de Igarapava;Qualificação Viária do Prefeitura Municipal de Igarapava;R$ 249.997,54;R$ 4.749.953,22;R$ 4.999.950,76
Em análise de enquadramento;4215.24.0410/2021;Qualificação Viária;SP;Mogi das Cruzes;Caixa Econômica Federal;Prefeitura Municipal de Mogi das Cruzes;Qualificação Viária do Prefeitura Municipal de Mogi das Cruzes;R$ 197.186,71;R$ 3.746.547,44;R$ 3.943.734,15
Devolvida ao Proponente;3671.24.0808/2018;Qualificação Viária;PA;Oriximiná;Caixa Econômica Federal;Prefeitura Municipal de Oriximiná;Qualificação Viária do Prefeitura Municipal de Oriximiná;R$ 1.002.500,00;R$ 18.997.500,00;R$ 20.000.000,00
Devolvida ao Proponente;4116.2.2811/2019;Qualificação Viária;SP;Engenheiro Coelho;Caixa Econômica Federal;Prefeitura Municipal de Engenheiro Coelho;Qualificação Viária do Prefeitura Municipal de Engenheiro Coelho;R$ 274.687,60;R$ 5.219.064,26;R$ 5.493.751,86
Pré-selecionada pelo Gestor da Aplicação;4153.2.2501/2021;Qualificação Viária;SP;Igarapava;Caixa Econômica Federal;Prefeitura Municipal de Igarapava;Qualificação Viária do Prefeitura Municipal de Igarapava;R$ 249.649,43;R$ 4.743.338,97;R$ 4.992.988,40
Em análise de enquadramento;4181.2.1908/2021;Qualificação Viária;SP;Ribeirão Pires;Caixa Econômica Federal;Prefeitura Municipal de Ribeirão Pires;Qualificação Viária do Prefeitura Municipal de Ribeirão Pires;R$ 2.029.357,35;R$ 19.768.789,61;R$ 21.798.146,96
Devolvida ao Proponente;3381.2.3005/2018;Qualificação Viária;SP;Santo André;Caixa Econômica Federal;Prefeitura Municipal de Santo André;Qualificação Viária do Prefeitura Municipal de Santo André;R$ 1.750.000,00;R$ 33.250.000,00;R$ 35.000.000,00
Devolvida ao Proponente;4234.2.0311/2021;Qualificação Viária;SC;Mafra;Caixa Econômica Federal;Prefeitura Municipal de Mafra;Qualificação Viária do Prefeitura Municipal de Mafra;R$ 75.700,00;R$ 1.438.300,00;R$ 1.514.000,00
Devolvida ao Proponente;4210.2.0909/2021;Qualificação Viária;SP;São Paulo;Caixa Econômica Federal;Prefeitura Municipal de São Paulo;Qualificação Viária do Prefeitura Municipal de São Paulo;R$ 21.207.343,97;R$ 402.939.535,26;R$ 424.146.879,23
Pré-selecionada pelo Gestor da Aplicação;4209.2.2909/2021;Qualificação Viária;SP;Cordeirópolis;Caixa Econômica Federal;Prefeitura Municipal de Cordeirópolis;Qualificação Viária do Prefeitura Municipal de Cordeirópolis;R$ 1.976.736,84;R$ 37.557.999,96;R$ 39.534.736,80
Pré-selecionada pelo Gestor da Aplicação;4158.24.1202/2021;Qualificação Viária;SP;Santa Cruz das Palmeiras;Caixa Econômica Federal;Prefeitura Municipal de Santa Cruz das Palmeiras;Qualificação Viária do Prefeitura Municipal de Santa Cruz das Palmeiras;R$ 599.919,61;R$ 11.398.472,49;R$ 11.998.392,10
Pré-selecionada pelo Gestor da Aplicação;4213.1.1709/2021;Sistemas de Transporte Público Coletivo Urbano;GO;Goiânia;Caixa Econômica Federal;Prefeitura Municipal de Goiânia;Sistemas de Transporte Público Coletivo Urbano do Prefeitura Municipal de Goiânia;R$ 1.390.000.000,00;R$ 1.000.000.000,00;R$ 2.390.000.000,00
Pré-selecionada pelo Gestor da Aplicação;4207.24.0410/2021;Qualificação Viária;SP;Mogi das Cruzes;Caixa Econômica Federal;Prefeitura Municipal de Mogi das Cruzes;Qualificação Viária do Prefeitura Municipal de Mogi das Cruzes;R$ 80.162,48;R$ 1.523.086,98;R$ 1.603.249,46
Devolvida ao Proponente;4264.24.2303/2022;Qualificação Viária;MT;Paranatinga;Caixa Econômica Federal;Prefeitura Municipal de Paranatinga;Qualificação Viária do Prefeitura Municipal de Paranatinga;R$ 2.151.894,98;R$ 19.367.054,74;R$ 21.518.949,72
Em análise de enquadramento;4266.2.0703/2022;Qualificação Viária;PR;Almirante Tamandaré;Caixa Econômica Federal;Prefeitura Municipal de Almirante Tamandaré;Qualificação Viária do Prefeitura Municipal de Almirante Tamandaré;R$ 600.000,00;R$ 11.400.000,00;R$ 12.000.000,00
Devolvida ao Proponente;4243.24.0411/2021;Qualificação Viária;SP;Mogi das Cruzes;Caixa Econômica Federal;Prefeitura Municipal de Mogi das Cruzes;Qualificação Viária do Prefeitura Municipal de Mogi das Cruzes;R$ 197.186,71;R$ 3.746.547,44;R$ 3.943.734,15
Pré-selecionada pelo Gestor da Aplicação;4217.134.0410/2021;Sistemas de Transporte Público Coletivo Urbano;SP;Mogi das Cruzes;Caixa Econômica Federal;Prefeitura Municipal de Mogi das Cruzes;Sistemas de Transporte Público Coletivo Urbano do Prefeitura Municipal de Mogi das Cruzes;R$ 225.456,29;R$ 4.283.669,49;R$ 4.509.125,78
Devolvida ao Proponente;4278.1.2704/2022;Sistemas de Transporte Público Coletivo Urbano;AC;Brasiléia;Caixa Econômica Federal;Prefeitura Municipal de Brasiléia;Sistemas de Transporte Público Coletivo Urbano do Prefeitura Municipal de Brasiléia;R$ 900.000,00;R$ 17.100.000,00;R$ 18.000.000,00
Devolvida ao Proponente;4246.2.1011/2021;Qualificação Viária;AC;Brasiléia;Caixa Econômica Federal;Prefeitura Municipal de Brasiléia;Qualificação Viária do Prefeitura Municipal de Brasiléia;R$ 1.000.000,00;R$ 19.000.000,00;R$ 20.000.000,00
Devolvida ao Proponente;4247.2.1211/2021;Qualificação Viária;SP;São Paulo;Caixa Econômica Federal;Prefeitura Municipal de São Paulo;Qualificação Viária do Prefeitura Municipal de São Paulo;R$ 52.297.246,00;R$ 386.419.055,00;R$ 438.716.301,00
Pré-selecionada pelo Gestor da Aplicação;4211.23.1309/2021;Qualificação Viária;RJ;Petrópolis;Caixa Econômica Federal;Prefeitura Municipal de Petrópolis;Qualificação Viária do Prefeitura Municipal de Petrópolis;R$ 1.409.765,59;R$ 26.785.546,06;R$ 28.195.311,65
Pré-selecionada pelo Gestor da Aplicação;4218.134.0410/2021;Sistemas de Transporte Público Coletivo Urbano;SP;Mogi das Cruzes;Caixa Econômica Federal;Prefeitura Municipal de Mogi das Cruzes;Sistemas de Transporte Público Coletivo Urbano do Prefeitura Municipal de Mogi das Cruzes;R$ 177.710,13;R$ 3.376.492,46;R$ 3.554.202,59
Em análise de enquadramento;2468.1345.2212/2021;Sistemas de Transporte Público Coletivo Urbano;GO;Trindade;Caixa Econômica Federal;Prefeitura Municipal de Trindade;Sistemas de Transporte Público Coletivo Urbano do Prefeitura Municipal de Trindade;R$ 1.154.800,00;R$ 21.941.200,00;R$ 23.096.000,00
Pré-selecionada pelo Gestor da Aplicação;4232.2.0311/2021;Qualificação Viária;SC;Mafra;Caixa Econômica Federal;Prefeitura Municipal de Mafra;Qualificação Viária do Prefeitura Municipal de Mafra;R$ 60.000,00;R$ 1.140.000,00;R$ 1.200.000,00
Devolvida ao Proponente;4251.4.3011/2021;Estudos e Projetos;RN;Natal;Caixa Econômica Federal;Prefeitura Municipal de Natal;Estudos e Projetos do Prefeitura Municipal de Natal;R$ 117.773,45;R$ 2.237.695,52;R$ 2.355.468,97
Devolvida ao Proponente;4236.2.0311/2021;Qualificação Viária;SC;Mafra;Caixa Econômica Federal;Prefeitura Municipal de Mafra;Qualificação Viária do Prefeitura Municipal de Mafra;R$ 165.000,00;R$ 3.135.000,00;R$ 3.300.000,00
Devolvida ao Proponente;4237.2.0311/2021;Qualificação Viária;SC;Mafra;Caixa Econômica Federal;Prefeitura Municipal de Mafra;Qualificação Viária do Prefeitura Municipal de Mafra;R$ 105.900,00;R$ 2.012.100,00;R$ 2.118.000,00
Pré-selecionada pelo Gestor da Aplicação;4219.5.0411/2021;Plano de Mobilidade Urbana;SP;Mogi das Cruzes;Caixa Econômica Federal;Prefeitura Municipal de Mogi das Cruzes;Plano de Mobilidade Urbana do Prefeitura Municipal de Mogi das Cruzes;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Pré-selecionada pelo Gestor da Aplicação;4238.2.0311/2021;Qualificação Viária;SC;Mafra;Caixa Econômica Federal;Prefeitura Municipal de Mafra;Qualificação Viária do Prefeitura Municipal de Mafra;R$ 80.000,00;R$ 1.520.000,00;R$ 1.600.000,00
Devolvida ao Proponente;4277.2.1804/2022;Qualificação Viária;MS;Ribas do Rio Pardo;Caixa Econômica Federal;Prefeitura Municipal de Ribas do Rio Pardo;Qualificação Viária do Prefeitura Municipal de Ribas do Rio Pardo;R$ 1.990.421,02;R$ 37.817.999,26;R$ 39.808.420,28
Devolvida ao Proponente;4283.2.0906/2022;Qualificação Viária;MS;Deodápolis;Caixa Econômica Federal;Prefeitura Municipal de Deodápolis;Qualificação Viária do Prefeitura Municipal de Deodápolis;R$ 180.863,90;R$ 3.436.413,94;R$ 3.617.277,84
Devolvida ao Proponente;4284.2.0906/2022;Qualificação Viária;MS;Deodápolis;Caixa Econômica Federal;Prefeitura Municipal de Deodápolis;Qualificação Viária do Prefeitura Municipal de Deodápolis;R$ 279.420,29;R$ 5.308.985,48;R$ 5.588.405,77
Pré-selecionada pelo Gestor da Aplicação;4263.24.2402/2022;Qualificação Viária;MS;Ivinhema;Caixa Econômica Federal;Prefeitura Municipal de Ivinhema;Qualificação Viária do Prefeitura Municipal de Ivinhema;R$ 1.571.312,59;R$ 29.854.939,21;R$ 31.426.251,80
Devolvida ao Proponente;4285.2.0906/2022;Qualificação Viária;MS;Deodápolis;Caixa Econômica Federal;Prefeitura Municipal de Deodápolis;Qualificação Viária do Prefeitura Municipal de Deodápolis;R$ 289.837,89;R$ 5.506.919,81;R$ 5.796.757,70
Devolvida ao Proponente;4285.2.0906/2022;Qualificação Viária;MS;Deodápolis;Caixa Econômica Federal;Prefeitura Municipal de Deodápolis;Qualificação Viária do Prefeitura Municipal de Deodápolis;R$ 289.837,89;R$ 5.506.919,81;R$ 5.796.757,70
Devolvida ao Proponente;4282.2.0906/2022;Qualificação Viária;MS;Deodápolis;Caixa Econômica Federal;Prefeitura Municipal de Deodápolis;Qualificação Viária do Prefeitura Municipal de Deodápolis;R$ 90.075,97;R$ 1.711.443,31;R$ 1.801.519,28
Selecionada pelo gestor da aplicação;1520.2.1001/2018;Qualificação Viária;RS;Salvador do Sul;Caixa Econômica Federal;Prefeitura Municipal de Salvador do Sul;Qualificação Viária do Prefeitura Municipal de Salvador do Sul;R$ 85.275,00;R$ 1.620.225,00;R$ 1.705.500,00
Selecionada pelo gestor da aplicação;3766.2.2609/2018;Qualificação Viária;BA;Luís Eduardo Magalhães;Caixa Econômica Federal;Prefeitura Municipal de Luís Eduardo Magalhães;Qualificação Viária do Prefeitura Municipal de Luís Eduardo Magalhães;R$ 960.666,76;R$ 18.252.668,25;R$ 19.213.335,01
Selecionada pelo gestor da aplicação;3625.2.1607/2018;Qualificação Viária;MG;Carneirinho;Caixa Econômica Federal;Prefeitura Municipal de Carneirinho;Qualificação Viária do Prefeitura Municipal de Carneirinho;R$ 38.678,75;R$ 734.896,05;R$ 773.574,80
Selecionada pelo gestor da aplicação;1411.2.2612/2017;Qualificação Viária;RS;Veranópolis;Caixa Econômica Federal;Prefeitura Municipal de Veranópolis;Qualificação Viária do Prefeitura Municipal de Veranópolis;R$ 167.081,41;R$ 3.174.546,70;R$ 3.341.628,11
Selecionada pelo gestor da aplicação;1585.245.2301/2018;Qualificação Viária;MA;São José de Ribamar;Caixa Econômica Federal;Prefeitura Municipal de São José de Ribamar;Qualificação Viária do Prefeitura Municipal de São José de Ribamar;R$ 1.498.556,60;R$ 28.472.575,33;R$ 29.971.131,93
Selecionada pelo gestor da aplicação;3624.2.1607/2018;Qualificação Viária;MG;Carneirinho;Caixa Econômica Federal;Prefeitura Municipal de Carneirinho;Qualificação Viária do Prefeitura Municipal de Carneirinho;R$ 48.342,78;R$ 918.512,65;R$ 966.855,43
Pré-selecionada pelo Gestor da Aplicação;4286.2.0906/2022;Qualificação Viária;MS;Deodápolis;Caixa Econômica Federal;Prefeitura Municipal de Deodápolis;Qualificação Viária do Prefeitura Municipal de Deodápolis;R$ 59.801,98;R$ 1.136.237,43;R$ 1.196.039,41
Selecionada pelo gestor da aplicação;1359.24.2012/2017;Qualificação Viária;MS;Antônio João;Caixa Econômica Federal;Prefeitura Municipal de Antônio João;Qualificação Viária do Prefeitura Municipal de Antônio João;R$ 229.820,27;R$ 4.366.585,09;R$ 4.596.405,36
Selecionada pelo gestor da aplicação;1364.2.2012/2017;Qualificação Viária;SP;Socorro;Caixa Econômica Federal;Prefeitura Municipal de Socorro;Qualificação Viária do Prefeitura Municipal de Socorro;R$ 750.000,00;R$ 14.250.000,00;R$ 15.000.000,00
Selecionada pelo gestor da aplicação;3407.24.0606/2018;Qualificação Viária;PI;Novo Santo Antônio;Caixa Econômica Federal;Prefeitura Municipal de Novo Santo Antônio;Qualificação Viária do Prefeitura Municipal de Novo Santo Antônio;R$ 251.000,00;R$ 4.760.310,26;R$ 5.011.310,26
Selecionada pelo gestor da aplicação;1624.2.0502/2018;Qualificação Viária;RS;Nonoai;Caixa Econômica Federal;Prefeitura Municipal de Nonoai;Qualificação Viária do Prefeitura Municipal de Nonoai;R$ 223.750,00;R$ 4.251.250,00;R$ 4.475.000,00
Selecionada pelo gestor da aplicação;3683.24.2208/2018;Qualificação Viária;PI;Oeiras;Caixa Econômica Federal;Prefeitura Municipal de Oeiras;Qualificação Viária do Prefeitura Municipal de Oeiras;R$ 290.000,00;R$ 5.416.500,00;R$ 5.706.500,00
Selecionada pelo gestor da aplicação;1323.2.1812/2017;Qualificação Viária;SC;São Ludgero;Caixa Econômica Federal;Prefeitura Municipal de São Ludgero;Qualificação Viária do Prefeitura Municipal de São Ludgero;R$ 140.029,55;R$ 2.660.561,38;R$ 2.800.590,93
Selecionada pelo gestor da aplicação;3913.2.2201/2019;Qualificação Viária;GO;Ceres;Caixa Econômica Federal;Prefeitura Municipal de Ceres;Qualificação Viária do Prefeitura Municipal de Ceres;R$ 641.172,22;R$ 12.182.272,04;R$ 12.823.444,26
Selecionada pelo gestor da aplicação;3541.24.1207/2018;Qualificação Viária;MT;Canarana;Caixa Econômica Federal;Prefeitura Municipal de Canarana - MT;Qualificação Viária do Prefeitura Municipal de Canarana - MT;R$ 458.280,93;R$ 8.707.337,63;R$ 9.165.618,56
Selecionada pelo gestor da aplicação;3354.24.2905/2018;Qualificação Viária;GO;Goiatuba;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE GOIATUBA;Qualificação Viária do PREFEITURA MUNICIPAL DE GOIATUBA;R$ 740.250,00;R$ 14.064.750,00;R$ 14.805.000,00
Selecionada pelo gestor da aplicação;1566.24.1801/2018;Qualificação Viária;RO;Ouro Preto do Oeste;Caixa Econômica Federal;Prefeitura Municipal de Ouro Preto do Oeste;Qualificação Viária do Prefeitura Municipal de Ouro Preto do Oeste;R$ 509.000,00;R$ 9.671.000,00;R$ 10.180.000,00
Selecionada pelo gestor da aplicação;4059.2.1207/2019;Qualificação Viária;SC;Nova Trento;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Nova Trento;Qualificação Viária do Prefeitura Municipal de Nova Trento;R$ 52.583,05;R$ 999.077,78;R$ 1.051.660,83
Selecionada pelo gestor da aplicação;4100.24.1110/2019;Qualificação Viária;SC;Grão Pará;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Grão Pará;Qualificação Viária do Prefeitura Municipal de Grão Pará;R$ 142.737,31;R$ 2.562.008,69;R$ 2.704.746,00
Selecionada pelo gestor da aplicação;1613.2.3001/2018;Qualificação Viária;SP;Peruíbe;Caixa Econômica Federal;Prefeitura Municipal de Peruíbe;Qualificação Viária do Prefeitura Municipal de Peruíbe;R$ 556.500,00;R$ 10.573.500,00;R$ 11.130.000,00
Selecionada pelo gestor da aplicação;1577.2.2201/2018;Qualificação Viária;MG;Novorizonte;Banco de Desenvolvimento de Minas Gerais – BDMG;Prefeitura Municipal de Novorizonte;Qualificação Viária do Prefeitura Municipal de Novorizonte;R$ 54.576,00;R$ 1.036.944,00;R$ 1.091.520,00
Selecionada pelo gestor da aplicação;1622.24.0702/2018;Qualificação Viária;SC;Ipuaçu;Caixa Econômica Federal;Prefeitura Municipal de Ipuaçu;Qualificação Viária do Prefeitura Municipal de Ipuaçu;R$ 116.382,85;R$ 2.151.478,98;R$ 2.267.861,83
Selecionada pelo gestor da aplicação;1615.24.3001/2018;Qualificação Viária;PI;Belém do Piauí;Caixa Econômica Federal;Prefeitura Municipal de Belém do Piauí;Qualificação Viária do Prefeitura Municipal de Belém do Piauí;R$ 251.000,00;R$ 4.749.000,00;R$ 5.000.000,00
Selecionada pelo gestor da aplicação;3740.2.2210/2018;Qualificação Viária;RS;Capitão;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Município de Capitão;Qualificação Viária do Município de Capitão;R$ 134.161,50;R$ 2.549.068,50;R$ 2.683.230,00
Selecionada pelo gestor da aplicação;1401.2.2212/2017;Qualificação Viária;MG;Vespasiano;Caixa Econômica Federal;Prefeitura Municipal de Vespasiano;Qualificação Viária do Prefeitura Municipal de Vespasiano;R$ 879.250,00;R$ 16.705.750,00;R$ 17.585.000,00
Selecionada pelo gestor da aplicação;1626.2.2202/2018;Qualificação Viária;PR;Florestópolis;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Florestópolis;Qualificação Viária do Prefeitura Municipal de Florestópolis;R$ 47.000,00;R$ 893.000,00;R$ 940.000,00
Selecionada pelo gestor da aplicação;3403.2.0506/2018;Qualificação Viária;PI;Bom Jesus;Caixa Econômica Federal;Prefeitura Municipal de Bom Jesus;Qualificação Viária do Prefeitura Municipal de Bom Jesus;R$ 750.000,00;R$ 14.250.000,00;R$ 15.000.000,00
Selecionada pelo gestor da aplicação;3379.24.1206/2018;Qualificação Viária;PI;Piripiri;Caixa Econômica Federal;Prefeitura Municipal de Piripiri;Qualificação Viária do Prefeitura Municipal de Piripiri;R$ 760.000,00;R$ 14.240.000,00;R$ 15.000.000,00
Selecionada pelo gestor da aplicação;3794.2.1710/2018;Qualificação Viária;RO;Buritis;Caixa Econômica Federal;Prefeitura Municipal de Buritis;Qualificação Viária do Prefeitura Municipal de Buritis;R$ 543.200,64;R$ 10.320.812,14;R$ 10.864.012,78
Selecionada pelo gestor da aplicação;1541.24.1201/2018;Qualificação Viária;PI;Landri Sales;Caixa Econômica Federal;Prefeitura Municipal de Landri Sales;Qualificação Viária do Prefeitura Municipal de Landri Sales;R$ 151.000,00;R$ 2.849.000,00;R$ 3.000.000,00
Selecionada pelo gestor da aplicação;2827.24.2504/2018;Qualificação Viária;MG;Belo Oriente;Caixa Econômica Federal;Prefeitura Municipal de Belo Oriente;Qualificação Viária do Prefeitura Municipal de Belo Oriente;R$ 769.000,00;R$ 14.611.000,00;R$ 15.380.000,00
Selecionada pelo gestor da aplicação;3642.2.2307/2018;Qualificação Viária;PI;Antônio Almeida;Caixa Econômica Federal;Prefeitura Municipal de Antônio Almeida;Qualificação Viária do Prefeitura Municipal de Antônio Almeida;R$ 78.947,51;R$ 1.500.002,50;R$ 1.578.950,01
Selecionada pelo gestor da aplicação;1597.2.2601/2018;Qualificação Viária;RS;Sarandi;Caixa Econômica Federal;Prefeitura Municipal de Sarandi;Qualificação Viária do Prefeitura Municipal de Sarandi;R$ 265.891,61;R$ 5.051.940,49;R$ 5.317.832,10
Selecionada pelo gestor da aplicação;3707.2.2708/2018;Qualificação Viária;MT;Nova Olímpia;Caixa Econômica Federal;Prefeitura Municipal de Nova Olímpia;Qualificação Viária do Prefeitura Municipal de Nova Olímpia;R$ 263.157,86;R$ 4.999.999,20;R$ 5.263.157,06
Selecionada pelo gestor da aplicação;2840.2.0205/2018;Qualificação Viária;RS;Arroio do Tigre;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Arroio do Tigre;Qualificação Viária do Prefeitura Municipal de Arroio do Tigre;R$ 209.357,50;R$ 3.977.792,50;R$ 4.187.150,00
Selecionada pelo gestor da aplicação;3132.24.1503/2018;Qualificação Viária;MG;Guaxupé;Caixa Econômica Federal;Prefeitura Municipal de Guaxupé;Qualificação Viária do Prefeitura Municipal de Guaxupé;R$ 749.826,61;R$ 14.246.705,39;R$ 14.996.532,00
Selecionada pelo gestor da aplicação;4004.2.1505/2019;Qualificação Viária;SC;Forquilhinha;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Forquilhinha;Qualificação Viária do Prefeitura Municipal de Forquilhinha;R$ 6.302.582,11;R$ 1.575.645,53;R$ 7.878.227,64
Selecionada pelo gestor da aplicação;3475.24.1206/2018;Qualificação Viária;PI;Paulistana;Caixa Econômica Federal;Prefeitura Municipal de Paulistana;Qualificação Viária do Prefeitura Municipal de Paulistana;R$ 255.000,00;R$ 4.745.000,00;R$ 5.000.000,00
Selecionada pelo gestor da aplicação;1543.2.1501/2018;Qualificação Viária;SC;Itapiranga;Caixa Econômica Federal;Prefeitura Municipal de Itapiranga;Qualificação Viária do Prefeitura Municipal de Itapiranga;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Selecionada pelo gestor da aplicação;4088.2.1009/2019;Qualificação Viária;MS;Aparecida do Taboado;Caixa Econômica Federal;Prefeitura Municipal de Aparecida do Taboado;Qualificação Viária do Prefeitura Municipal de Aparecida do Taboado;R$ 938.793,56;R$ 14.249.858,85;R$ 15.188.652,41
Selecionada pelo gestor da aplicação;1515.2.1001/2018;Qualificação Viária;MT;Comodoro;Caixa Econômica Federal;Prefeitura Municipal de Comodoro;Qualificação Viária do Prefeitura Municipal de Comodoro;R$ 250.000,00;R$ 4.745.584,62;R$ 4.995.584,62
Selecionada pelo gestor da aplicação;3512.2.1806/2018;Qualificação Viária;MT;Diamantino;Caixa Econômica Federal;Prefeitura Municipal de Diamantino;Qualificação Viária do Prefeitura Municipal de Diamantino;R$ 69.586,99;R$ 1.322.152,69;R$ 1.391.739,68
